business_id;name;review_count;rating;location.city;location.zip_code;location.country
-0iLH7iQNYtoURciDpJf6w;Le Comptoir de la Gastronomie;1314;4.5;Paris;75001;FR
ijqSzadlZ9SCXvUEpMimcA;Angelina;1563;4.0;Paris;75001;FR
KggnM_Z4wOa_JExunaaWHg;Le Temps des Cerises;374;4.4;Paris;75004;FR
cEjF41ZQB8-SST8cd3EsEw;L'Avant Comptoir;658;4.4;Paris;75006;FR
ctP4c3mwVO5oOzLI48LtuQ;Les Antiquaires;474;4.4;Paris;75007;FR
ZpVf9wbJMKAogWgJhcMqZg;Pink Mamma;421;4.1;Paris;75009;FR
DwZsEW-rBrBBLHioGdKoAg;La Fontaine de Mars;343;4.4;Paris;75007;FR
sFdV05m6Pw5Rw6DdrpQlIw;L'Escargot;290;3.8;Paris;75001;FR
ZxtU74SJMRoB8ZQXWwNtRQ;Le Soufflé;328;4.2;Paris;75001;FR
_qACPRqSQ6Nvd20H8EY3uw;Frenchie;247;4.4;Paris;75002;FR
NzeX7PR81NRNA0O2Kz-YUQ;L'Atelier de Joël Robuchon;404;4.1;Paris;75007;FR
4UO8M5flLUR5-TxGdSma0Q;Les Papilles;259;4.5;Paris;75005;FR
hiqQTVdbpcQtgCqu2M6PqQ;Le Cinq;161;4.7;Paris;75008;FR
WHHt_Jb8Tgidn9mW7oDnIg;La Coïncidence;509;4.5;Paris;75116;FR
-tqQsTz6TwJWiqvMWvXIEA;Le Hide;243;4.6;Paris;75017;FR
FFz-WusZrBYZexKqhqzCkg;L'As du Fallafel;1956;4.3;Paris;75004;FR
2qzLbDM1dkpsKyyCXAEXWw;Guy Savoy;91;4.6;Paris;75006;FR
-cSK_-y04p3oVu98DShiyQ;Robert et Louise;358;4.2;Paris;75003;FR
3-6yc3Kbow9hnDrlIy263w;Verjus;160;4.4;Paris;75001;FR
qz7R7oLeEEfvKOlWCxqMVw;Les Philosophes;368;3.9;Paris;75004;FR
E3PvQMOiAnCVTUgPSU1mJQ;Le Volant Basque;247;4.6;Paris;75015;FR
qq-0DAkiLPJivqCJff6nFw;Musée du Louvre;2059;4.5;Paris;75001;FR
kYb2q4Li8Cw2PY_I9lCJOw;Chez Janou;595;4.1;Paris;75003;FR
NvQOJZ8mhKSwu1W4SSwpkQ;L'Arpège;230;4.1;Paris;75007;FR
XlBCQgnHlYUByBejO8r79g;L'Epicure;176;4.6;Paris;75008;FR
n-XIbgR-Gwb1CqBMyjwj0w;Chez Fernand;236;4.3;Paris;75006;FR
ce3vXRUtUKZjbGf2fv8VzQ;Ober Mamma;308;4.4;Paris;75011;FR
RcODJWKhY2jJGNoXK8e9xQ;Au Père Louis;268;4.0;Paris;75006;FR
r22SOV14alXUSGru9LhIoQ;East Mamma;263;4.3;Paris;75011;FR
DS99xpMkcoH9qCkstWmRAw;Septime;151;4.3;Paris;75011;FR
aPLSj-9aNHSQpi7Sf5_9hA;Le Comptoir;456;3.8;Paris;75006;FR
BvC_O7iWXp9vVTSBKxmMPA;Le Fumoir;318;3.8;Paris;75001;FR
28m3vU-aLX76lMEyT3WL5Q;Pain Vin Fromages;266;4.4;Paris;75004;FR
n601y41nOORUePsM7KsuaA;Gambino;246;4.4;Paris;75001;FR
hzz02o6WpMtWywDf2wt5Gw;L'Ami Jean;252;4.2;Paris;75007;FR
FLHycTS_iKSAHnD1thuuBQ;Clamato;101;4.4;Paris;75011;FR
vxz_Uq_hH_Ack1Av1HUbjw;Huitrerie Régis;99;4.5;Paris;75006;FR
In3z-xigGXnYXlBS-mhOPg;La Tour Eiffel;2056;4.6;Paris;75007;FR
arT8b1fhGKwMzZ4WsaXUww;Eggs & Co;385;4.3;Paris;75006;FR
4rZixQTpz0BFD_F-6OeXwA;Le Bosquet;195;4.0;Paris;75007;FR
ZISkD_hIHSJgmFHKp33mVg;Le Petit Cler;415;4.2;Paris;75007;FR
S1Q2QtWcLP8LUsNeQB7ipQ;Pierre Sang;161;4.4;Paris;75011;FR
2xMKFWLjktrlRWGzZAkiEQ;Al Caratello;231;4.6;Paris;75018;FR
eyHbeZgEipcb2QXJF-e_nQ;Monsieur Bleu;207;4.0;Paris;75116;FR
wLgAxIB7111BcWLWh7KpFw;La Régalade;103;4.4;Paris;75001;FR
ya9qZ-AeNav0H0EWZg7l7g;Baroche;231;4.2;Paris;75008;FR
MqdwabesLORy1qtSiv2NKA;Le Colimaçon;146;4.3;Paris;75004;FR
9Dg5IhmhqeQhriJfMeNZ3g;Le Poincaré;157;4.0;Paris;75116;FR
vatPhRbtUkYxSeiZ-ev2wQ;The Frog & Underground;47;4.4;Paris;75002;FR
Yto6loHgpGQDhvZQllpXMA;Le Bistro Marbeuf;156;4.0;Paris;75008;FR
